"dp_id","dp_name","dp_cust_id","dp_desc","dp_img1","dp_img2","dp_img3","dp_video","dp_qty","dp_cat_id","dp_cat_sub_id","dp_status","dp_datetime","dp_brand","dp_featured","dp_featured_date","dp_featured_outofstock","dp_featured_time","dp_pack_type","dp_pack_qnty"
"91","f75","20190819065646",,"20200924011203_5f6c4dcb39d01.jpg",,,,"-48","6","5","1","2019-08-19 06:57 pm",,"0",,"0","20201004124346","Box","50"
"92","f76","20190819065718",,"20200924011203_5f6c4dcb3a83c.jpg",,,,"-48","6","5","1","2019-08-19 06:58 pm",,"0",,"0","20201004124346","Box","50"
"93","f77","20190819065815",,"20200924011203_5f6c4dcb3b3b5.jpg",,,,"-48","6","5","1","2019-08-19 06:59 pm",,"0",,"0","20201004124346","Box","50"
"94","f78","20190819065933",,"20200924011203_5f6c4dcb3b998.jpg",,,,"-48","6","5","1","2019-08-19 07:00 pm",,"0",,"0","20201004124346","Box","50"
"95","f368","20190819070012",,"20200924014231_5f6c54ef39cc4.jpg",,,,"2","6","5","1","2019-08-19 07:01 pm","0","0",,"0","20201004124347","Box","50"
"96","f79","20190819070105",,"20200924011203_5f6c4dcb3c4b2.jpg",,,,"-48","6","5","1","2019-08-19 07:01 pm",,"0",,"0","20201004124346","Box","50"
"97","f80","20190819070145",,"20200924011203_5f6c4dcb3caf9.jpg",,,,"1","6","5","1","2019-08-19 07:02 pm",,"0",,"0","20201004124346","Box","50"
"98","f81","20190819070250",,"20200924011203_5f6c4dcb3d62d.jpg",,,,"-48","6","5","1","2019-08-19 07:03 pm",,"0",,"0","20201004124346","Box","50"
"99","f82","20190819070347",,"20200924011203_5f6c4dcb3dc56.jpg",,,,"-48","6","5","1","2019-08-19 07:05 pm",,"0",,"0","20201004124346","Box","50"
"100","f83","20190819070522",,"20200924011203_5f6c4dcb3e787.jpg",,,,"-48","6","5","1","2019-08-19 07:06 pm",,"0",,"0","20201004124346","Box","50"
"101","f84","20190819070621",,"20200924011203_5f6c4dcb3f444.jpg",,,,"2","6","5","1","2019-08-19 07:06 pm",,"0",,"0","20201004124346","Box","50"
"102","f85","20190819070657",,"20200924011203_5f6c4dcb3fa01.jpg",,,,"-48","6","5","1","2019-08-19 07:07 pm",,"0",,"0","20201004124346","Box","50"
"103","f86","20190819070744",,"20200924011203_5f6c4dcb404b0.jpg",,,,"-48","6","5","1","2019-08-19 07:09 pm",,"0",,"0","20201004124346","Box","50"
"104","f87","20190819070939",,"20200924011203_5f6c4dcb40a85.jpg",,,,"-48","6","5","1","2019-08-19 07:10 pm",,"0",,"0","20201004124346","Box","50"
"105","f88","20190819071049",,"20200924011203_5f6c4dcb416ff.jpg",,,,"2","6","5","1","2019-08-19 07:11 pm",,"0",,"0","20201004124346","Box","50"
"106","f89","20190819071156",,"20200924011203_5f6c4dcb42281.jpg",,,,"-48","6","5","1","2019-08-19 07:12 pm",,"0",,"0","20201004124346","Box","50"
"107","f90","20190819071246",,"20200924011203_5f6c4dcb42854.jpg",,"20190819071337_5d5aa78914079.jpg",,"2","6","5","1","2019-08-19 07:13 pm",,"0",,"0","20201004124346","Box","50"
"108","f91","20190819071337",,"20200924011203_5f6c4dcb433ff.jpg",,,,"-48","6","5","1","2019-08-19 07:14 pm",,"0",,"0","20201004124346","Box","50"
"109","f92","20190819071409",,"20200924011203_5f6c4dcb4392f.jpg",,,,"1","6","5","1","2019-08-19 07:14 pm",,"0",,"0","20201004124346","Box","50"
"110","f71","20190819071440",,"20200924011203_5f6c4dcb378c0.jpg",,,,"-48","6","5","1","2019-08-19 07:15 pm",,"0",,"0","20201004124346","Box","50"
"111","f363","20190819071519",,"20200924014231_5f6c54ef36dd9.jpg",,,,"2","6","5","1","2019-08-19 07:15 pm","0","0",,"0","20201004124347","Box","50"
"112","f93","20190819071551",,"20200924011203_5f6c4dcb44576.jpg",,,,"1","6","5","1","2019-08-19 07:16 pm",,"0",,"0","20201004124346","Box","50"
"113","f94","20190819071617",,"20200924011203_5f6c4dcb451ea.jpg",,,,"-48","6","5","1","2019-08-19 07:16 pm",,"0",,"0","20201004124346","Box","50"
"114","f95","20190819071648",,"20200924011203_5f6c4dcb4581b.jpg",,,,"2","6","5","1","2019-08-19 07:17 pm",,"0",,"0","20201004124346","Box","50"
